date,county,fips,place,confirmed_cases,new_cases,x,y,population,two_week_lag
2020-09-15,Los Angeles,37,Santa Monica,834,1,-118.481816,34.023052,92446,5
2020-09-16,Los Angeles,37,Santa Monica,839,5,-118.481816,34.023052,92446,5
2020-09-17,Los Angeles,37,Santa Monica,839,0,-118.481816,34.023052,92446,6
2020-09-18,Los Angeles,37,Santa Monica,845,6,-118.481816,34.023052,92446,15
2020-09-19,Los Angeles,37,Santa Monica,847,2,-118.481816,34.023052,92446,4
2020-09-20,Los Angeles,37,Santa Monica,851,4,-118.481816,34.023052,92446,1
2020-09-21,Los Angeles,37,Santa Monica,853,2,-118.481816,34.023052,92446,1
2020-09-22,Los Angeles,37,Santa Monica,854,1,-118.481816,34.023052,92446,0
2020-09-23,Los Angeles,37,Santa Monica,861,7,-118.481816,34.023052,92446,0
2020-09-24,Los Angeles,37,Santa Monica,864,3,-118.481816,34.023052,92446,4
2020-09-25,Los Angeles,37,Santa Monica,871,7,-118.481816,34.023052,92446,4
2020-09-26,Los Angeles,37,Santa Monica,874,3,-118.481816,34.023052,92446,7
2020-09-27,Los Angeles,37,Santa Monica,874,0,-118.481816,34.023052,92446,2
2020-09-28,Los Angeles,37,Santa Monica,876,2,-118.481816,34.023052,92446,0
2020-09-29,Los Angeles,37,Santa Monica,879,3,-118.481816,34.023052,92446,1
2020-09-30,Los Angeles,37,Santa Monica,881,2,-118.481816,34.023052,92446,5
2020-10-01,Los Angeles,37,Santa Monica,890,9,-118.481816,34.023052,92446,0
2020-10-02,Los Angeles,37,Santa Monica,894,4,-118.481816,34.023052,92446,6
2020-10-03,Los Angeles,37,Santa Monica,896,2,-118.481816,34.023052,92446,2
2020-10-04,Los Angeles,37,Santa Monica,903,7,-118.481816,34.023052,92446,4
2020-10-05,Los Angeles,37,Santa Monica,906,3,-118.481816,34.023052,92446,2
2020-10-06,Los Angeles,37,Santa Monica,915,9,-118.481816,34.023052,92446,1
2020-10-07,Los Angeles,37,Santa Monica,922,7,-118.481816,34.023052,92446,7
2020-10-08,Los Angeles,37,Santa Monica,927,5,-118.481816,34.023052,92446,3
2020-10-09,Los Angeles,37,Santa Monica,933,6,-118.481816,34.023052,92446,7
2020-10-10,Los Angeles,37,Santa Monica,936,3,-118.481816,34.023052,92446,3
2020-10-11,Los Angeles,37,Santa Monica,943,7,-118.481816,34.023052,92446,0
2020-10-12,Los Angeles,37,Santa Monica,948,5,-118.481816,34.023052,92446,2
2020-10-13,Los Angeles,37,Santa Monica,949,1,-118.481816,34.023052,92446,3
2020-10-14,Los Angeles,37,Santa Monica,949,0,-118.481816,34.023052,92446,2
2020-10-15,Los Angeles,37,Santa Monica,943,-6,-118.481816,34.023052,92446,9
2020-10-16,Los Angeles,37,Santa Monica,945,2,-118.481816,34.023052,92446,4
2020-10-17,Los Angeles,37,Santa Monica,950,5,-118.481816,34.023052,92446,2
2020-10-18,Los Angeles,37,Santa Monica,950,0,-118.481816,34.023052,92446,7
2020-10-19,Los Angeles,37,Santa Monica,953,3,-118.481816,34.023052,92446,3
2020-10-20,Los Angeles,37,Santa Monica,961,8,-118.481816,34.023052,92446,9
2020-10-21,Los Angeles,37,Santa Monica,967,6,-118.481816,34.023052,92446,7
2020-10-22,Los Angeles,37,Santa Monica,983,16,-118.481816,34.023052,92446,5
2020-10-23,Los Angeles,37,Santa Monica,998,15,-118.481816,34.023052,92446,6
2020-10-24,Los Angeles,37,Santa Monica,1001,3,-118.481816,34.023052,92446,3
2020-10-25,Los Angeles,37,Santa Monica,1004,3,-118.481816,34.023052,92446,7
2020-10-26,Los Angeles,37,Santa Monica,1006,2,-118.481816,34.023052,92446,5
2020-10-27,Los Angeles,37,Santa Monica,1012,6,-118.481816,34.023052,92446,1
2020-10-28,Los Angeles,37,Santa Monica,1024,12,-118.481816,34.023052,92446,0
2020-10-29,Los Angeles,37,Santa Monica,1029,5,-118.481816,34.023052,92446,-6
2020-10-30,Los Angeles,37,Santa Monica,1034,5,-118.481816,34.023052,92446,2
2020-10-31,Los Angeles,37,Santa Monica,1036,2,-118.481816,34.023052,92446,5
2020-11-01,Los Angeles,37,Santa Monica,1042,6,-118.481816,34.023052,92446,0
2020-11-02,Los Angeles,37,Santa Monica,1049,7,-118.481816,34.023052,92446,3
2020-11-03,Los Angeles,37,Santa Monica,1053,4,-118.481816,34.023052,92446,8
2020-11-04,Los Angeles,37,Santa Monica,1063,10,-118.481816,34.023052,92446,6
2020-11-05,Los Angeles,37,Santa Monica,1070,7,-118.481816,34.023052,92446,16
2020-11-06,Los Angeles,37,Santa Monica,1080,10,-118.481816,34.023052,92446,15
2020-11-07,Los Angeles,37,Santa Monica,1102,22,-118.481816,34.023052,92446,3
2020-11-08,Los Angeles,37,Santa Monica,1112,10,-118.481816,34.023052,92446,3
2020-11-09,Los Angeles,37,Santa Monica,1119,7,-118.481816,34.023052,92446,2
2020-11-10,Los Angeles,37,Santa Monica,1125,6,-118.481816,34.023052,92446,6
2020-11-11,Los Angeles,37,Santa Monica,1148,23,-118.481816,34.023052,92446,12
2020-11-12,Los Angeles,37,Santa Monica,1172,24,-118.481816,34.023052,92446,5
2020-11-13,Los Angeles,37,Santa Monica,1193,21,-118.481816,34.023052,92446,5
2020-11-14,Los Angeles,37,Santa Monica,1218,25,-118.481816,34.023052,92446,2
2020-11-15,Los Angeles,37,Santa Monica,1231,13,-118.481816,34.023052,92446,6
2020-11-16,Los Angeles,37,Santa Monica,1250,19,-118.481816,34.023052,92446,7
2020-11-17,Los Angeles,37,Santa Monica,1254,4,-118.481816,34.023052,92446,4
2020-11-18,Los Angeles,37,Santa Monica,1283,29,-118.481816,34.023052,92446,10
2020-11-19,Los Angeles,37,Santa Monica,1313,30,-118.481816,34.023052,92446,7
2020-11-20,Los Angeles,37,Santa Monica,1313,0,-118.481816,34.023052,92446,10
2020-11-21,Los Angeles,37,Santa Monica,1368,55,-118.481816,34.023052,92446,22
2020-11-22,Los Angeles,37,Santa Monica,1377,9,-118.481816,34.023052,92446,10
2020-11-23,Los Angeles,37,Santa Monica,1402,25,-118.481816,34.023052,92446,7
2020-11-24,Los Angeles,37,Santa Monica,1412,10,-118.481816,34.023052,92446,6
2020-11-25,Los Angeles,37,Santa Monica,1426,14,-118.481816,34.023052,92446,23
2020-11-26,Los Angeles,37,Santa Monica,1446,20,-118.481816,34.023052,92446,24
2020-11-27,Los Angeles,37,Santa Monica,1454,8,-118.481816,34.023052,92446,21
2020-11-28,Los Angeles,37,Santa Monica,1466,12,-118.481816,34.023052,92446,25
2020-11-29,Los Angeles,37,Santa Monica,1480,14,-118.481816,34.023052,92446,13
2020-11-30,Los Angeles,37,Santa Monica,1497,17,-118.481816,34.023052,92446,19
2020-12-01,Los Angeles,37,Santa Monica,1516,19,-118.481816,34.023052,92446,4
2020-12-02,Los Angeles,37,Santa Monica,1537,21,-118.481816,34.023052,92446,29
2020-12-03,Los Angeles,37,Santa Monica,1573,36,-118.481816,34.023052,92446,30
2020-12-04,Los Angeles,37,Santa Monica,1597,24,-118.481816,34.023052,92446,0
2020-12-05,Los Angeles,37,Santa Monica,1635,38,-118.481816,34.023052,92446,55
2020-12-06,Los Angeles,37,Santa Monica,1654,19,-118.481816,34.023052,92446,9
2020-12-07,Los Angeles,37,Santa Monica,1694,40,-118.481816,34.023052,92446,25
2020-12-08,Los Angeles,37,Santa Monica,1727,33,-118.481816,34.023052,92446,10
2020-12-09,Los Angeles,37,Santa Monica,1738,11,-118.481816,34.023052,92446,14
2020-12-10,Los Angeles,37,Santa Monica,1783,45,-118.481816,34.023052,92446,20
2020-12-11,Los Angeles,37,Santa Monica,1825,42,-118.481816,34.023052,92446,8
